symbol,company_name,EY,roe,EYRank,ROERank
ABC,Công ty cổ phần Truyền thông VMG,2.127660,245.91,1.0,1.0
TBH,Công ty Cổ phần Tổng Bách Hóa,0.632911,152.64,4.0,3.0
PAT,CTCP Phốt Pho Apatit Việt Nam,0.490196,77.95,6.0,7.0
TMB,Công ty Cổ phần Kinh doanh Than miền Bắc - Vinacomin,0.480769,61.28,7.0,9.0
MDC,Công ty Cổ phần Than Mông Dương - Vinacomin,0.400000,42.77,12.5,17.0
CST,Công ty cổ phần Than Cao Sơn - TKV,0.400000,35.25,12.5,30.0
CNT,Công ty Cổ phần Xây dựng và Kinh doanh vật tư,0.354610,43.80,15.0,15.0
ICN,Công ty Cổ phần Đầu Tư Xây Dựng Dầu Khí IDICO,0.347222,146.94,19.0,4.0
ANT,Công ty Cổ phần Rau quả thực phẩm An Giang,0.338983,31.05,21.0,44.0
VFR,Công ty Cổ phần Vận tải và Thuê tàu,0.336700,32.89,22.0,39.0
BDG,CÔNG TY CỔ PHẦN MAY MẶC BÌNH DƯƠNG,0.320513,39.07,24.0,20.0
HVT,Công ty Cổ phần Hóa chất Việt Trì,0.303951,35.40,31.0,28.0
HDM,Công ty Cổ phần Dệt May Huế,0.292398,38.91,34.0,21.0
FT1,Công ty cổ phần Phụ tùng máy số 1,0.278552,51.70,40.0,11.0
DGC,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,0.277778,37.80,41.5,24.0
TVD,Công ty Cổ phần than Vàng Danh - Vinacomin,0.265252,35.03,47.0,32.0
